time_s,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6
1.470000,0.050653,0.333259,0.354274,0.007317,0.042261,0.006204
1.480000,0.046584,0.336234,0.357274,0.011614,0.039004,0.001884
1.490000,0.042400,0.339294,0.360360,0.016033,0.035654,-0.002560
1.500000,0.038157,0.342396,0.363489,0.020511,0.032258,-0.007065
1.510000,0.033913,0.345496,0.366617,0.024989,0.028860,-0.011569
1.520000,0.029726,0.348554,0.369702,0.029406,0.025508,-0.016013
1.530000,0.025655,0.351528,0.372702,0.033700,0.022249,-0.020334
1.540000,0.021758,0.354376,0.375574,0.037813,0.019130,-0.024470
1.550000,0.018095,0.357057,0.378275,0.041685,0.016198,-0.028362
1.560000,0.014718,0.359532,0.380766,0.045259,0.013494,-0.031953
1.570000,0.011660,0.361775,0.383023,0.048497,0.011047,-0.035206
1.580000,0.008948,0.363761,0.385024,0.051366,0.008875,-0.038088
1.590000,0.006608,0.365468,0.386747,0.053830,0.007002,-0.040569
1.600000,0.004667,0.366870,0.388171,0.055856,0.005449,-0.042617
1.610000,0.003141,0.367958,0.389284,0.057426,0.004226,-0.044214
1.620000,0.001994,0.368767,0.390117,0.058595,0.003308,-0.045408
1.630000,0.001181,0.369346,0.390710,0.059431,0.002656,-0.046259
1.640000,0.000654,0.369745,0.391104,0.060008,0.002234,-0.046830
1.650000,0.000367,0.370013,0.391340,0.060394,0.002006,-0.047181
1.660000,0.000263,0.370186,0.391457,0.060644,0.001925,-0.047370
1.670000,0.000243,0.370253,0.391494,0.060741,0.001910,-0.047434
1.680000,0.000195,0.370191,0.391489,0.060652,0.001869,-0.047407
1.690000,0.000010,0.369978,0.391479,0.060345,0.001713,-0.047321
1.700000,-0.000423,0.369590,0.391502,0.059785,0.001352,-0.047209
1.710000,-0.001198,0.369003,0.391589,0.058940,0.000706,-0.047096
1.720000,-0.002347,0.368194,0.391743,0.057775,-0.000251,-0.046980
1.730000,-0.003889,0.367138,0.391962,0.056254,-0.001533,-0.046846
1.740000,-0.005838,0.365811,0.392243,0.054342,-0.003156,-0.046685
1.750000,-0.008214,0.364188,0.392582,0.052004,-0.005132,-0.046483
1.760000,-0.011022,0.362254,0.392977,0.049218,-0.007469,-0.046233
1.770000,-0.014226,0.360036,0.393423,0.046022,-0.010136,-0.045937
1.780000,-0.017782,0.357567,0.393915,0.042465,-0.013095,-0.045603
1.790000,-0.021644,0.354882,0.394447,0.038598,-0.016309,-0.045238
1.800000,-0.025766,0.352018,0.395016,0.034472,-0.019740,-0.044849
1.810000,-0.030099,0.349010,0.395616,0.030138,-0.023346,-0.044442
1.820000,-0.034588,0.345897,0.396237,0.025654,-0.027082,-0.044024
1.830000,-0.039171,0.342720,0.396873,0.021077,-0.030897,-0.043597
1.840000,-0.043790,0.339519,0.397515,0.016466,-0.034741,-0.043168
1.850000,-0.048385,0.336335,0.398152,0.011879,-0.038565,-0.042742
1.860000,-0.052892,0.333211,0.398778,0.007379,-0.042315,-0.042323
1.870000,-0.057230,0.330203,0.399379,0.003046,-0.045926,-0.041919
1.880000,-0.061315,0.327370,0.399946,-0.001035,-0.049326,-0.041538
1.890000,-0.065062,0.324771,0.400465,-0.004778,-0.052444,-0.041189
1.900000,-0.068387,0.322466,0.400926,-0.008100,-0.055211,-0.040879
1.910000,-0.071235,0.320491,0.401321,-0.010945,-0.057582,-0.040614
1.920000,-0.073678,0.318797,0.401660,-0.013385,-0.059615,-0.040386
1.930000,-0.075815,0.317315,0.401956,-0.015520,-0.061394,-0.040187
1.940000,-0.077750,0.315973,0.402224,-0.017452,-0.063004,-0.040007
1.950000,-0.079584,0.314702,0.402479,-0.019283,-0.064530,-0.039836
