time_s,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6
1.190000,0.183255,0.278489,0.357661,-0.198766,0.149780,0.149977
1.200000,0.200567,0.289987,0.369770,-0.181467,0.164178,0.147496
1.210000,0.217026,0.300906,0.381269,-0.165038,0.177866,0.145147
1.220000,0.232427,0.311122,0.392027,-0.149669,0.190675,0.142952
1.230000,0.246579,0.320519,0.401922,-0.135531,0.202444,0.140925
1.240000,0.259288,0.328983,0.410835,-0.122798,0.213015,0.139084
1.250000,0.270364,0.336400,0.418643,-0.111642,0.222228,0.137444
1.260000,0.279668,0.342681,0.425254,-0.102196,0.229968,0.136023
1.270000,0.287282,0.347840,0.430685,-0.094437,0.236303,0.134843
1.280000,0.293342,0.351920,0.434980,-0.088301,0.241344,0.133927
1.290000,0.297985,0.354960,0.438182,-0.083726,0.245204,0.133299
1.300000,0.301346,0.357002,0.440337,-0.080648,0.247995,0.132982
1.310000,0.303563,0.358130,0.441533,-0.078940,0.249831,0.132962
1.320000,0.304775,0.358603,0.442039,-0.078218,0.250832,0.133075
1.330000,0.305123,0.358724,0.442168,-0.078033,0.251120,0.133121
1.340000,0.304747,0.358794,0.442234,-0.077938,0.250814,0.132898
1.350000,0.303787,0.359116,0.442551,-0.077484,0.250037,0.132207
1.360000,0.302315,0.359965,0.443402,-0.076264,0.248853,0.130840
1.370000,0.300129,0.361508,0.444957,-0.074038,0.247102,0.128567
1.380000,0.296959,0.363882,0.447353,-0.070606,0.244566,0.125151
1.390000,0.292535,0.367229,0.450730,-0.065770,0.241027,0.120357
1.400000,0.286587,0.371685,0.455227,-0.059331,0.236268,0.113948
1.410000,0.278912,0.377354,0.460946,-0.051142,0.230125,0.105748
1.420000,0.269573,0.384194,0.467844,-0.041265,0.222649,0.095822
1.430000,0.258700,0.392123,0.475841,-0.029814,0.213945,0.084294
1.440000,0.246425,0.401064,0.484857,-0.016903,0.204118,0.071289
1.450000,0.232877,0.410937,0.494812,-0.002647,0.193272,0.056931
1.460000,0.218203,0.421647,0.505611,0.012819,0.181525,0.041366
1.470000,0.202614,0.433038,0.517097,0.029269,0.169045,0.024818
1.480000,0.186337,0.444938,0.529098,0.046455,0.156015,0.007535
1.490000,0.169599,0.457177,0.541441,0.064130,0.142617,-0.010240
1.500000,0.152628,0.469583,0.553955,0.082046,0.129031,-0.028259
1.510000,0.135652,0.481986,0.566468,0.099957,0.115441,-0.046278
1.520000,0.118904,0.494218,0.578809,0.117622,0.102034,-0.064051
1.530000,0.102619,0.506113,0.590807,0.134800,0.088998,-0.081334
1.540000,0.087033,0.517505,0.602294,0.151253,0.076520,-0.097881
1.550000,0.072379,0.528229,0.613099,0.166739,0.064790,-0.113449
1.560000,0.058872,0.538129,0.623065,0.181036,0.053978,-0.127811
1.570000,0.046639,0.547099,0.632093,0.193990,0.044186,-0.140822
1.580000,0.035790,0.555045,0.640096,0.205464,0.035501,-0.152352
1.590000,0.026431,0.561870,0.646988,0.215321,0.028009,-0.162276
1.600000,0.018669,0.567481,0.652683,0.223424,0.021794,-0.170466
1.610000,0.012564,0.571831,0.657136,0.229706,0.016904,-0.176856
1.620000,0.007977,0.575067,0.660467,0.234379,0.013230,-0.181631
1.630000,0.004724,0.577385,0.662840,0.237726,0.010624,-0.185037
1.640000,0.002616,0.578981,0.664417,0.240031,0.008938,-0.187319
1.650000,0.001469,0.580051,0.665360,0.241576,0.008025,-0.188725
1.660000,0.001053,0.580743,0.665829,0.242574,0.007701,-0.189481
1.670000,0.000970,0.581012,0.665978,0.242963,0.007639,-0.189738
1.680000,0.000779,0.580765,0.665957,0.242608,0.007477,-0.189628
1.690000,0.000038,0.579912,0.665917,0.241379,0.006854,-0.189283
1.700000,-0.001692,0.578359,0.666008,0.239141,0.005406,-0.188835
1.710000,-0.004791,0.576013,0.666355,0.235761,0.002823,-0.188386
1.720000,-0.009389,0.572777,0.666972,0.231100,-0.001005,-0.187919
1.730000,-0.015554,0.568554,0.667848,0.225015,-0.006134,-0.187386
1.740000,-0.023353,0.563245,0.668971,0.217367,-0.012623,-0.186740
1.750000,-0.032855,0.556752,0.670329,0.208014,-0.020529,-0.185933
1.760000,-0.044086,0.549018,0.671908,0.196872,-0.029875,-0.184930
1.770000,-0.056905,0.540143,0.673691,0.184087,-0.040543,-0.183747
1.780000,-0.071129,0.530267,0.675658,0.169860,-0.052381,-0.182411
1.790000,-0.086575,0.519530,0.677789,0.154393,-0.065237,-0.180951
1.800000,-0.103062,0.508073,0.680064,0.137889,-0.078959,-0.179395
1.810000,-0.120397,0.496040,0.682462,0.120554,-0.093386,-0.177769
1.820000,-0.138350,0.483588,0.684950,0.102616,-0.108328,-0.176094
1.830000,-0.156684,0.470879,0.687494,0.084309,-0.123586,-0.174389
1.840000,-0.175160,0.458076,0.690059,0.065865,-0.138962,-0.172674
1.850000,-0.193539,0.445339,0.692610,0.047517,-0.154258,-0.170968
1.860000,-0.211566,0.432843,0.695111,0.029516,-0.169261,-0.169292
1.870000,-0.228920,0.420812,0.697518,0.012184,-0.183704,-0.167677
1.880000,-0.245261,0.409480,0.699783,-0.004139,-0.197304,-0.166154
1.890000,-0.260250,0.399086,0.701861,-0.019113,-0.209778,-0.164757
1.900000,-0.273548,0.389863,0.703704,-0.032399,-0.220846,-0.163517
1.910000,-0.284941,0.381962,0.705283,-0.043780,-0.230328,-0.162455
1.920000,-0.294710,0.375188,0.706638,-0.053539,-0.238458,-0.161545
1.930000,-0.303262,0.369259,0.707823,-0.062080,-0.245575,-0.160749
1.940000,-0.311001,0.363893,0.708897,-0.069810,-0.252017,-0.160028
1.950000,-0.318335,0.358809,0.709914,-0.077134,-0.258120,-0.159346
