sample_index,sent_monotonic_s,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,dq_cmd_1,dq_cmd_2,dq_cmd_3,dq_cmd_4,dq_cmd_5,dq_cmd_6,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,dq_meas_1,dq_meas_2,dq_meas_3,dq_meas_4,dq_meas_5,dq_meas_6,tau_meas_1,tau_meas_2,tau_meas_3,tau_meas_4,tau_meas_5,tau_meas_6,q_error_1,q_error_2,q_error_3,q_error_4,q_error_5,q_error_6,fault_flags
20,331421.355009363,0.02275,0.377399,0.307683,-0.016121,0.027751,0.065667,-0.42465,-0.05259999999999987,-0.29689999999999994,0.3043999999999999,-0.3867500000000001,0.07154999999999939,0.02994537353515625,0.3786144256591797,0.3156709671020508,-0.02574920654296875,0.036431312561035156,0.060082435607910156,-0.46153831481933594,-0.0659332275390625,-0.28571510314941406,0.34066009521484375,-0.4285697937011719,0.0549468994140625,-0.7035899353027343,0.4738463592529296,4.896411132812499,1.410848419189453,-0.12114320373535156,0.04286598205566406,0.007195373535156251,0.001215425659179703,0.007987967102050797,-0.00962820654296875,0.008680312561035155,-0.005584564392089847,
21,331421.36500871,0.018611,0.376887,0.30479,-0.013154,0.023981,0.066365,-0.4006,-0.049499999999999544,-0.27994999999999826,0.28714999999999996,-0.36485000000000006,0.0674999999999995,0.02460479736328125,0.3778514862060547,0.3130006790161133,-0.02307891845703125,0.032235145568847656,0.060463905334472656,-0.5230770111083984,-0.0659332275390625,-0.2593402862548828,0.3186798095703125,-0.6043968200683594,0.0549468994140625,0.1292291259765625,1.191795501708984,4.9825663757324214,1.4555776824951172,-0.10623291015625,0.054048095703125,0.005993797363281251,0.00096448620605466,0.008210679016113276,-0.00992491845703125,0.008254145568847657,-0.005901094665527337,
22,331421.375013492,0.014738,0.376409,0.302084,-0.010378,0.020454,0.067017,-0.37154999999999994,-0.04595000000000016,-0.2597000000000016,0.26635,-0.3384,0.0625500000000001,0.02117156982421875,0.3774700164794922,0.3103303909301758,-0.02079010009765625,0.02956390380859375,0.060463905334472656,-0.3560447692871094,-0.048351287841796875,-0.28571510314941406,0.3846168518066406,-0.5164833068847656,0.010990142822265625,-0.10051445007324217,0.21538436889648435,5.126150970458983,1.4481229400634765,-0.08759524536132812,0.06895838928222656,0.006433569824218751,0.001061016479492194,0.008246390930175762,-0.01041210009765625,0.00910990380859375,-0.006553094665527337,
23,331421.385008665,0.01118,0.375968,0.299596,-0.007827,0.017213,0.067616,-0.33769999999999994,-0.04210000000000047,-0.23635000000000184,0.24205,-0.30755,0.0568000000000006,0.01659393310546875,0.3770885467529297,0.3068971633911133,-0.01850128173828125,0.02689361572265625,0.061226844787597656,-0.5318679809570312,-0.03076934814453125,-0.2945060729980469,0.3186798095703125,-0.4285697937011719,0.120880126953125,-0.07179603576660155,0.4738463592529296,4.896411132812499,1.4406681976318358,-0.10623291015625,0.06895838928222656,0.005413933105468749,0.001120546752929663,0.007301163391113308,-0.01067428173828125,0.00968061572265625,-0.006389155212402339,
24,331421.395007904,0.007984,0.375567,0.297357,-0.005537,0.014303,0.068153,-0.29905000000000004,-0.03775000000000028,-0.20979999999999888,0.21415,-0.2723,0.050100000000000144,0.01239776611328125,0.3767070770263672,0.3038454055786133,-0.01583099365234375,0.02422332763671875,0.06313419342041016,-0.373626708984375,0.03076934814453125,-0.2593402862548828,0.3626365661621094,-0.3846168518066406,0.20878982543945312,0.33025802612304683,-0.01435920715332031,4.925129547119139,1.4406681976318358,-0.10623291015625,0.046593353271484374,0.00441376611328125,0.0011400770263672033,0.006488405578613299,-0.01029399365234375,0.00992032763671875,-0.005018806579589849,
25,331421.405013241,0.005199,0.375213,0.2954,-0.003544,0.011767,0.068618,-0.25615,-0.03304999999999836,-0.18044999999999867,0.1833,-0.23324999999999996,0.04264999999999963,0.00934600830078125,0.3767070770263672,0.3007936477661133,-0.01468658447265625,0.02269744873046875,0.06427860260009766,-0.2945060729980469,-0.021978378295898438,-0.2417583465576172,0.14285659790039062,-0.34066009521484375,0.16483688354492188,-0.1579475402832031,0.1579475402832031,5.384616699218749,1.4704879760742187,-0.13978005981445313,0.01304620361328125,0.00414700830078125,0.0014940770263671688,0.005393647766113285,-0.01114258447265625,0.01093044873046875,-0.004339397399902342,
26,331421.415013961,0.002861,0.374906,0.293748,-0.001871,0.009638,0.069006,-0.21259999999999998,-0.028000000000000247,-0.1503499999999991,0.15205,-0.19360000000000002,0.035249999999999865,0.00629425048828125,0.3767070770263672,0.2981233596801758,-0.01277923583984375,0.01964569091796875,0.06504154205322266,-0.2681312561035156,0.013187408447265625,-0.23296737670898438,0.2967033386230469,-0.2967033386230469,0.07692337036132812,-0.1579475402832031,-0.4738463592529296,5.2123062133789055,1.4928530120849608,-0.13605268859863281,0.01304620361328125,0.00343325048828125,0.0018010770263671705,0.004375359680175772,-0.01090823583984375,0.01000769091796875,-0.003964457946777342,
27,331421.42500791,0.000947,0.374653,0.292393,-0.000503,0.007895,0.069323,-0.17185,-0.022550000000001735,-0.12149999999999939,0.12290000000000001,-0.15655000000000005,0.028500000000000053,0.00438690185546875,0.3767070770263672,0.2954530715942383,-0.01277923583984375,0.01659393310546875,0.06542301177978516,-0.17142868041992188,-0.021978378295898438,-0.2681312561035156,-0.010990142822265625,-0.4945068359375,0.07692337036132812,0.043077621459960934,-0.9620519256591795,6.131280517578125,1.537582275390625,-0.09505079650878906,0.020500946044921874,0.00343990185546875,0.0020540770263671737,0.0030600715942382672,-0.01227623583984375,0.00869893310546875,-0.0038999882202148395,
28,331421.435009055,-0.0005760000000000048,0.374455,0.291318,0.0005870000000000034,0.006506999999999995,0.069576,-0.13454999999999986,-0.016800000000000127,-0.09419999999999974,0.0963999999999999,-0.12254999999999983,0.022600000000000377,0.00286102294921875,0.3767070770263672,0.2931642532348633,-0.01239776611328125,0.01583099365234375,0.06618595123291016,-0.14505577087402344,0.03076934814453125,-0.2593402862548828,-0.010990142822265625,-0.120880126953125,0.14285659790039062,-0.3876911163330078,0.1579475402832031,5.269743041992187,1.5972218322753906,-0.10623291015625,0.009318832397460937,0.003437022949218755,0.002252077026367205,0.0018462532348632599,-0.012984766113281254,0.009323993652343755,-0.0033900487670898427,
29,331421.445008087,-0.0017439999999999964,0.374317,0.290509,0.0014249999999999974,0.0054440000000000035,0.069775,-0.1007500000000001,-0.010649999999998185,-0.06850000000000198,0.07255000000000007,-0.09175000000000008,0.017650000000000318,0.00133514404296875,0.3770885467529297,0.2908754348754883,-0.01239776611328125,0.01468658447265625,0.06694889068603516,-0.16263771057128906,0.021978378295898438,-0.17142868041992188,0.010990142822265625,-0.1868133544921875,0.07692337036132812,-0.01435920715332031,0.3015396118164062,5.8441038513183585,1.6195868682861327,-0.1546903533935547,0.0018640899658203124,0.0030791440429687464,0.0027715467529296767,0.00036643487548826403,-0.013822766113281247,0.009242584472656246,-0.0028261093139648474,
