time_s,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6
2.070000,0.001388,0.374711,0.292705,-0.000818,0.008296,0.069250
2.080000,0.000947,0.374653,0.292393,-0.000503,0.007895,0.069323
2.090000,0.000531,0.374598,0.292099,-0.000205,0.007516,0.069392
2.100000,0.000139,0.374547,0.291821,0.000075,0.007158,0.069457
2.110000,-0.000230,0.374499,0.291561,0.000339,0.006822,0.069518
2.120000,-0.000576,0.374455,0.291318,0.000587,0.006507,0.069576
2.130000,-0.000900,0.374415,0.291091,0.000819,0.006212,0.069630
2.140000,-0.001202,0.374378,0.290881,0.001036,0.005937,0.069682
2.150000,-0.001483,0.374346,0.290687,0.001238,0.005681,0.069730
2.160000,-0.001744,0.374317,0.290509,0.001425,0.005444,0.069775
2.170000,-0.001984,0.374292,0.290346,0.001598,0.005225,0.069817
2.180000,-0.002205,0.374271,0.290199,0.001758,0.005023,0.069857
2.190000,-0.002407,0.374255,0.290066,0.001904,0.004839,0.069894
2.200000,-0.002591,0.374242,0.289948,0.002038,0.004672,0.069929
2.210000,-0.002757,0.374234,0.289844,0.002159,0.004521,0.069961
2.220000,-0.002905,0.374229,0.289755,0.002269,0.004386,0.069991
2.230000,-0.003037,0.374227,0.289677,0.002366,0.004267,0.070018
2.240000,-0.003152,0.374227,0.289612,0.002452,0.004162,0.070042
2.250000,-0.003251,0.374229,0.289558,0.002526,0.004072,0.070064
2.260000,-0.003335,0.374232,0.289513,0.002590,0.003995,0.070083
2.270000,-0.003404,0.374236,0.289478,0.002642,0.003932,0.070100
2.280000,-0.003459,0.374240,0.289451,0.002684,0.003882,0.070113
2.290000,-0.003500,0.374244,0.289431,0.002715,0.003844,0.070123
2.300000,-0.003529,0.374247,0.289418,0.002737,0.003818,0.070130
2.310000,-0.003544,0.374248,0.289410,0.002749,0.003804,0.070134
2.320000,-0.003548,0.374247,0.289407,0.002751,0.003801,0.070134
2.330000,-0.003540,0.374243,0.289408,0.002744,0.003809,0.070131
2.340000,-0.003521,0.374236,0.289411,0.002728,0.003826,0.070124
2.350000,-0.003491,0.374225,0.289417,0.002704,0.003854,0.070113
2.360000,-0.003451,0.374209,0.289423,0.002671,0.003890,0.070099
2.370000,-0.003402,0.374188,0.289430,0.002630,0.003935,0.070081
2.380000,-0.003343,0.374162,0.289435,0.002580,0.003988,0.070060
2.390000,-0.003276,0.374129,0.289439,0.002523,0.004049,0.070034
2.400000,-0.003201,0.374090,0.289441,0.002459,0.004117,0.070004
2.410000,-0.003118,0.374043,0.289439,0.002387,0.004192,0.069970
2.420000,-0.003027,0.373988,0.289434,0.002307,0.004275,0.069930
